# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\shenj\OneDrive\Desktop\pin.csv
# Generated on: Thu Sep 09 18:25:21 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_B22,6,B6_N0,PIN_E12,,,,,,
AhexL[5],Output,PIN_C22,6,B6_N0,PIN_J13,,,,,,
AhexL[4],Output,PIN_B21,6,B6_N0,PIN_H14,,,,,,
AhexL[3],Output,PIN_A21,6,B6_N0,PIN_A13,,,,,,
AhexL[2],Output,PIN_B19,7,B7_N0,PIN_A14,,,,,,
AhexL[1],Output,PIN_A20,7,B7_N0,PIN_C11,,,,,,
AhexL[0],Output,PIN_B20,6,B6_N0,PIN_H12,,,,,,
AhexU[6],Output,PIN_E17,6,B6_N0,PIN_D7,,,,,,
AhexU[5],Output,PIN_D19,6,B6_N0,PIN_D9,,,,,,
AhexU[4],Output,PIN_C20,6,B6_N0,PIN_E10,,,,,,
AhexU[3],Output,PIN_C19,7,B7_N0,PIN_A5,,,,,,
AhexU[2],Output,PIN_E21,6,B6_N0,PIN_D8,,,,,,
AhexU[1],Output,PIN_E22,6,B6_N0,PIN_C8,,,,,,
AhexU[0],Output,PIN_F21,6,B6_N0,PIN_C6,,,,,,
Aval[7],Output,,,,PIN_A6,,,,,,
Aval[6],Output,,,,PIN_B7,,,,,,
Aval[5],Output,,,,PIN_J10,,,,,,
Aval[4],Output,,,,PIN_C7,,,,,,
Aval[3],Output,,,,PIN_A11,,,,,,
Aval[2],Output,,,,PIN_C12,,,,,,
Aval[1],Output,,,,PIN_D12,,,,,,
Aval[0],Output,,,,PIN_A10,,,,,,
BhexL[6],Output,PIN_C17,7,B7_N0,PIN_C13,,,,,,
BhexL[5],Output,PIN_D17,7,B7_N0,PIN_C10,,,,,,
BhexL[4],Output,PIN_E16,7,B7_N0,PIN_B11,,,,,,
BhexL[3],Output,PIN_C16,7,B7_N0,PIN_E9,,,,,,
BhexL[2],Output,PIN_C15,7,B7_N0,PIN_H13,,,,,,
BhexL[1],Output,PIN_E15,7,B7_N0,PIN_B12,,,,,,
BhexL[0],Output,PIN_C14,7,B7_N0,PIN_J12,,,,,,
BhexU[6],Output,PIN_B17,7,B7_N0,PIN_B17,,,,,,
BhexU[5],Output,PIN_A18,7,B7_N0,PIN_A20,,,,,,
BhexU[4],Output,PIN_A17,7,B7_N0,PIN_E14,,,,,,
BhexU[3],Output,PIN_B16,7,B7_N0,PIN_A19,,,,,,
BhexU[2],Output,PIN_E18,6,B6_N0,PIN_D15,,,,,,
BhexU[1],Output,PIN_D18,6,B6_N0,PIN_B19,,,,,,
BhexU[0],Output,PIN_C18,7,B7_N0,PIN_A18,,,,,,
Bval[7],Output,,,,PIN_C19,,,,,,
Bval[6],Output,,,,PIN_A17,,,,,,
Bval[5],Output,,,,PIN_C18,,,,,,
Bval[4],Output,,,,PIN_F15,,,,,,
Bval[3],Output,,,,PIN_B10,,,,,,
Bval[2],Output,,,,PIN_A8,,,,,,
Bval[1],Output,,,,PIN_D13,,,,,,
Bval[0],Output,,,,PIN_A12,,,,,,
Clk,Input,PIN_P11,3,B3_N0,PIN_M8,,,,,,
Din[7],Input,PIN_A14,7,B7_N0,PIN_A9,,,,,,
Din[6],Input,PIN_A13,7,B7_N0,PIN_J11,,,,,,
Din[5],Input,PIN_B12,7,B7_N0,PIN_A16,,,,,,
Din[4],Input,PIN_A12,7,B7_N0,PIN_A7,,,,,,
Din[3],Input,PIN_C12,7,B7_N0,PIN_E13,,,,,,
Din[2],Input,PIN_D12,7,B7_N0,PIN_B14,,,,,,
Din[1],Input,PIN_C11,7,B7_N0,PIN_D14,,,,,,
Din[0],Input,PIN_C10,7,B7_N0,PIN_B16,,,,,,
Execute,Input,PIN_A7,7,B7_N0,PIN_E11,,,,,,
F[2],Input,,,,PIN_C14,,,,,,
F[1],Input,,,,PIN_A15,,,,,,
F[0],Input,,,,PIN_B15,,,,,,
LED[3],Output,,,,PIN_H11,,,,,,
LED[2],Output,,,,PIN_C16,,,,,,
LED[1],Output,,,,PIN_C17,,,,,,
LED[0],Output,,,,PIN_C9,,,,,,
LoadA,Input,PIN_F15,7,B7_N0,PIN_C15,,,,,,
LoadB,Input,PIN_B14,7,B7_N0,PIN_E15,,,,,,
R[1],Input,,,,PIN_A4,,,,,,
R[0],Input,,,,PIN_D10,,,,,,
Reset,Input,PIN_B8,7,B7_N0,PIN_B8,,,,,,
